PAC,CID,CRPName,Distid,Total,,
American Hotel & Lodging Assn,N00009660,"Scalise, Steve",LA01,"$15,000",,
American Hotel & Lodging Assn,N00035523,"Stefanik, Elise",NY21,"$20,000",,
Dairy Farmers of America,N00037034,"Marshall, Roger",KSS1,"$12,500",,
Dairy Farmers of America,N00029736,"Thompson, Glenn",PA15,"$10,000",,
Federation of American Hospitals,N00028152,"McCarthy, Kevin",CA23,"$15,000",,
Federation of American Hospitals,N00009660,"Scalise, Steve",LA01,"$10,000",,
Machinists/Aerospace Workers Union,N00042164,"Van Drew, Jeff",NJ02,"$10,000",,
American Trucking Assns,N00025337,"Diaz-Balart, Mario",FL25,"$10,000",,
American Trucking Assns,N00013323,"Graves, Sam",MO06,"$16,000",,
National Rural Electric Cooperative Assn,N00003028,"Aderholt, Robert B",AL04,"$10,000",,
National Rural Electric Cooperative Assn,N00025219,"Burgess, Michael",TX26,"$10,000",,
National Rural Electric Cooperative Assn,N00035346,"Carter, Buddy",GA01,"$10,000",,
National Rural Electric Cooperative Assn,N00031128,"Gibbs, Bob",OH07,"$10,000",,
National Rural Electric Cooperative Assn,N00013323,"Graves, Sam",MO06,"$10,000",,
National Rural Electric Cooperative Assn,N00032029,"Griffith, Morgan",VA09,"$10,000",,
National Rural Electric Cooperative Assn,N00031005,"Hartzler, Vicky",MO04,"$10,000",,
National Rural Electric Cooperative Assn,N00033630,"Hudson, Richard",NC08,"$10,000",,
National Rural Electric Cooperative Assn,N00032088,"Johnson, Bill",OH06,"$10,000",,
National Rural Electric Cooperative Assn,N00031647,"Kelly, Mike",PA16,"$10,000",,
National Rural Electric Cooperative Assn,N00005559,"Lucas, Frank D",OK03,"$10,000",,
National Rural Electric Cooperative Assn,N00028152,"McCarthy, Kevin",CA23,"$20,000",,
National Rural Electric Cooperative Assn,N00033410,"Mullin, Markwayne",OK02,"$10,000",,
National Rural Electric Cooperative Assn,N00033832,"Rice, Tom",SC07,"$10,000",,
National Rural Electric Cooperative Assn,N00033527,"Rouzer, David",NC07,"$10,000",,
National Rural Electric Cooperative Assn,N00027623,"Smith, Adrian",NE03,"$15,000",,
National Rural Electric Cooperative Assn,N00035282,"Smith, Jason",MO08,"$15,000",,
National Rural Electric Cooperative Assn,N00029736,"Thompson, Glenn",PA15,"$20,000",,
National Restaurant Assn,N00033630,"Hudson, Richard",NC08,"$12,000",,
National Restaurant Assn,N00039106,"Johnson, Mike",LA04,"$12,500",,
National Restaurant Assn,N00028152,"McCarthy, Kevin",CA23,"$10,000",,
American Bankers Assn,N00003028,"Aderholt, Robert B",AL04,"$15,000",,
American Bankers Assn,N00038285,"Arrington, Jodey",TX19,"$20,000",,
American Bankers Assn,N00037185,"Banks, Jim",IN03,"$20,000",,
American Bankers Assn,N00039533,"Bergman, John",MI01,"$20,000",,
American Bankers Assn,N00044335,"Bishop, Dan",NC09,"$10,000",,
American Bankers Assn,N00035420,"Bost, Mike",IL12,"$12,500",,
American Bankers Assn,N00039551,"Budd, Ted",NC13,"$20,000",,
American Bankers Assn,N00007099,"Calvert, Ken",CA42,"$10,000",,
American Bankers Assn,N00025095,"Carter, John",TX31,"$15,000",,
American Bankers Assn,N00003689,"Chabot, Steve",OH01,"$20,000",,
American Bankers Assn,N00042296,"Cline, Ben",VA06,"$10,000",,
American Bankers Assn,N00025726,"Cole, Tom",OK04,"$20,000",,
American Bankers Assn,N00030770,"Crawford, Rick",AR01,"$15,000",,
American Bankers Assn,N00038767,"Davidson, Warren",OH08,"$15,000",,
American Bankers Assn,N00025337,"Diaz-Balart, Mario",FL25,"$15,000",,
American Bankers Assn,N00030752,"Duncan, Jeff",SC03,"$20,000",,
American Bankers Assn,N00037442,"Dunn, Neal",FL02,"$15,000",,
American Bankers Assn,N00040712,"Estes, Ron",KS04,"$20,000",,
American Bankers Assn,N00026166,"Foxx, Virginia",NC05,"$20,000",,
American Bankers Assn,N00031128,"Gibbs, Bob",OH07,"$10,000",,
American Bankers Assn,N00046394,"Gimenez, Carlos",FL26,"$10,000",,
American Bankers Assn,N00042237,"Gooden, Lance",TX05,"$17,500",,
American Bankers Assn,N00032029,"Griffith, Morgan",VA09,"$15,000",,
American Bankers Assn,N00031005,"Hartzler, Vicky",MO04,"$12,500",,
American Bankers Assn,N00040829,"Hern, Kevin",OK01,"$15,000",,
American Bankers Assn,N00033630,"Hudson, Richard",NC08,"$20,000",,
American Bankers Assn,N00043298,"Hyde-Smith, Cindy",MSS1,"$15,000",,
American Bankers Assn,N00032088,"Johnson, Bill",OH06,"$20,000",,
American Bankers Assn,N00039106,"Johnson, Mike",LA04,"$20,000",,
American Bankers Assn,N00044065,"Keller, Fred",PA12,"$10,000",,
American Bankers Assn,N00031647,"Kelly, Mike",PA16,"$20,000",,
American Bankers Assn,N00037003,"Kelly, Trent",MS01,"$15,000",,
American Bankers Assn,N00025445,"Kustoff, David",TN08,"$17,500",,
American Bankers Assn,N00035347,"Loudermilk, Barry",GA11,"$15,000",,
American Bankers Assn,N00005559,"Lucas, Frank D",OK03,"$12,500",,
American Bankers Assn,N00030026,"Luetkemeyer, Blaine",MO03,"$20,000",,
American Bankers Assn,N00037034,"Marshall, Roger",KSS1,"$15,000",,
American Bankers Assn,N00028152,"McCarthy, Kevin",CA23,"$20,000",,
American Bankers Assn,N00033814,"Mooney, Alex",WV02,"$15,000",,
American Bankers Assn,N00033410,"Mullin, Markwayne",OK02,"$10,000",,
American Bankers Assn,N00044027,"Murphy, Greg",NC03,"$15,000",,
American Bankers Assn,N00007248,"Nunes, Devin",CA22,"$15,000",,
American Bankers Assn,N00031958,"Palazzo, Steven",MS04,"$17,500",,
American Bankers Assn,N00034120,"Perry, Scott",PA10,"$10,000",,
American Bankers Assn,N00029662,"Posey, Bill",FL08,"$20,000",,
American Bankers Assn,N00041871,"Reschenthaler, Guy",PA14,"$10,000",,
American Bankers Assn,N00033832,"Rice, Tom",SC07,"$20,000",,
American Bankers Assn,N00003473,"Rogers, Hal",KY05,"$10,000",,
American Bankers Assn,N00024759,"Rogers, Mike D",AL03,"$15,000",,
American Bankers Assn,N00041599,"Rose, John",TN06,"$15,000",,
American Bankers Assn,N00033527,"Rouzer, David",NC07,"$12,500",,
American Bankers Assn,N00009660,"Scalise, Steve",LA01,"$12,500",,
American Bankers Assn,N00006460,"Schweikert, David",AZ06,"$10,000",,
American Bankers Assn,N00043290,"Scott, Rick",FLS1,"$12,500",,
American Bankers Assn,N00027623,"Smith, Adrian",NE03,"$20,000",,
American Bankers Assn,N00035282,"Smith, Jason",MO08,"$20,000",,
American Bankers Assn,N00038781,"Smucker, Lloyd",PA11,"$20,000",,
American Bankers Assn,N00035523,"Stefanik, Elise",NY21,"$17,500",,
American Bankers Assn,N00033932,"Stewart, Chris",UT02,"$10,000",,
American Bankers Assn,N00029736,"Thompson, Glenn",PA15,"$20,000",,
American Bankers Assn,N00042715,"Timmons, William",SC04,"$15,000",,
American Bankers Assn,N00026368,"Walberg, Tim",MI07,"$20,000",,
American Bankers Assn,N00031226,"Walorski, Jackie",IN02,"$20,000",,
American Bankers Assn,N00030602,"Williams, Roger",TX25,"$17,500",,
American Bankers Assn,N00024809,"Wilson, Joe",SC02,"$15,000",,
American Bankers Assn,N00029459,"Wittman, Rob",VA01,"$17,500",,
American Bankers Assn,N00029404,"Zeldin, Lee",NY01,"$17,500",,
Seafarers International Union,N00035420,"Bost, Mike",IL12,"$10,000",,
Seafarers International Union,N00037269,"Mast, Brian",FL18,"$10,000",,
NTCA/Rural Broadband Assn,N00037034,"Marshall, Roger",KSS1,"$10,000",,
Mortgage Bankers Assn,N00038767,"Davidson, Warren",OH08,"$10,000",,
Mortgage Bankers Assn,N00043298,"Hyde-Smith, Cindy",MSS1,"$10,000",,
Mortgage Bankers Assn,N00026823,"Kennedy, John",LAS2,"$10,000",,
Mortgage Bankers Assn,N00035347,"Loudermilk, Barry",GA11,"$10,000",,
Mortgage Bankers Assn,N00030026,"Luetkemeyer, Blaine",MO03,"$20,000",,
Mortgage Bankers Assn,N00028152,"McCarthy, Kevin",CA23,"$20,000",,
Mortgage Bankers Assn,N00009660,"Scalise, Steve",LA01,"$15,000",,
Mortgage Bankers Assn,N00029404,"Zeldin, Lee",NY01,"$18,000",,
Mississippi ACRE,N00043298,"Hyde-Smith, Cindy",MSS1,"$10,000",,
National Assn of Prof Insurance Agents,N00033814,"Mooney, Alex",WV02,"$10,000",,
National Assn of Insurance & Financial Advisors,N00040712,"Estes, Ron",KS04,"$10,000",,
National Assn of Insurance & Financial Advisors,N00042237,"Gooden, Lance",TX05,"$10,000",,
National Assn of Insurance & Financial Advisors,N00025445,"Kustoff, David",TN08,"$10,000",,
National Assn of Insurance & Financial Advisors,N00005559,"Lucas, Frank D",OK03,"$10,000",,
National Assn of Insurance & Financial Advisors,N00030026,"Luetkemeyer, Blaine",MO03,"$10,000",,
National Assn of Insurance & Financial Advisors,N00028152,"McCarthy, Kevin",CA23,"$10,000",,
National Assn of Insurance & Financial Advisors,N00007248,"Nunes, Devin",CA22,"$10,000",,
National Assn of Insurance & Financial Advisors,N00029662,"Posey, Bill",FL08,"$10,000",,
National Assn of Insurance & Financial Advisors,N00041599,"Rose, John",TN06,"$10,000",,
National Assn of Insurance & Financial Advisors,N00009660,"Scalise, Steve",LA01,"$10,000",,
National Assn of Insurance & Financial Advisors,N00006460,"Schweikert, David",AZ06,"$10,000",,
National Assn of Insurance & Financial Advisors,N00027623,"Smith, Adrian",NE03,"$10,000",,
National Assn of Insurance & Financial Advisors,N00035282,"Smith, Jason",MO08,"$10,000",,
National Assn of Insurance & Financial Advisors,N00030602,"Williams, Roger",TX25,"$10,000",,
National Assn of Insurance & Financial Advisors,N00029404,"Zeldin, Lee",NY01,"$10,000",,
American Assn/Oral & Maxillofacial Surg,N00005736,"Babin, Brian",TX36,"$10,000",,
American Assn/Oral & Maxillofacial Surg,N00030771,"Gosar, Paul",AZ04,"$10,000",,
American Health Care Assn,N00025219,"Burgess, Michael",TX26,"$12,500",,
American Health Care Assn,N00007248,"Nunes, Devin",CA22,"$15,000",,
American Health Care Assn,N00033832,"Rice, Tom",SC07,"$12,000",,
"Sheet Metal, Air, Rail & Transportation Union",N00037269,"Mast, Brian",FL18,"$10,000",,
Credit Union National Assn,N00039533,"Bergman, John",MI01,"$15,000",,
Credit Union National Assn,N00007099,"Calvert, Ken",CA42,"$10,000",,
Credit Union National Assn,N00044245,"Carl, Jerry",AL01,"$10,000",,
Credit Union National Assn,N00003689,"Chabot, Steve",OH01,"$15,000",,
Credit Union National Assn,N00025726,"Cole, Tom",OK04,"$10,000",,
Credit Union National Assn,N00040712,"Estes, Ron",KS04,"$10,000",,
Credit Union National Assn,N00045434,"Fitzgerald, Scott",WI05,"$10,000",,
Credit Union National Assn,N00042458,"Guest, Michael Patrick",MS03,"$10,000",,
Credit Union National Assn,N00039106,"Johnson, Mike",LA04,"$16,500",,
Credit Union National Assn,N00044065,"Keller, Fred",PA12,"$10,000",,
Credit Union National Assn,N00037003,"Kelly, Trent",MS01,"$10,000",,
Credit Union National Assn,N00035347,"Loudermilk, Barry",GA11,"$10,000",,
Credit Union National Assn,N00030026,"Luetkemeyer, Blaine",MO03,"$15,000",,
Credit Union National Assn,N00029788,"Lummis, Cynthia",WYS2,"$10,000",,
Credit Union National Assn,N00037034,"Marshall, Roger",KSS1,"$10,000",,
Credit Union National Assn,N00028152,"McCarthy, Kevin",CA23,"$20,000",,
Credit Union National Assn,N00044027,"Murphy, Greg",NC03,"$10,000",,
Credit Union National Assn,N00007248,"Nunes, Devin",CA22,"$10,000",,
Credit Union National Assn,N00045377,"Obernolte, Jay",CA08,"$10,000",,
Credit Union National Assn,N00031958,"Palazzo, Steven",MS04,"$10,000",,
Credit Union National Assn,N00029662,"Posey, Bill",FL08,"$10,000",,
Credit Union National Assn,N00009660,"Scalise, Steve",LA01,"$10,000",,
Credit Union National Assn,N00005681,"Sessions, Pete",TX17,"$10,000",,
Credit Union National Assn,N00035523,"Stefanik, Elise",NY21,"$15,000",,
Credit Union National Assn,N00045307,"Tiffany, Tom",WI07,"$10,000",,
Credit Union National Assn,N00042164,"Van Drew, Jeff",NJ02,"$10,000",,
Credit Union National Assn,N00030602,"Williams, Roger",TX25,"$10,000",,
Credit Union National Assn,N00042240,"Wright, Ron",TX06,"$10,000",,
Credit Union National Assn,N00029404,"Zeldin, Lee",NY01,"$10,000",,
Laborers Union,N00041594,"Burchett, Tim",TN02,"$10,000",,
Laborers Union,N00025337,"Diaz-Balart, Mario",FL25,"$15,000",,
Laborers Union,N00032088,"Johnson, Bill",OH06,"$17,500",,
Laborers Union,N00031647,"Kelly, Mike",PA16,"$10,000",,
Laborers Union,N00029416,"Meuser, Dan",PA09,"$10,000",,
Laborers Union,N00041871,"Reschenthaler, Guy",PA14,"$20,000",,
Laborers Union,N00035523,"Stefanik, Elise",NY21,"$20,000",,
Laborers Union,N00029404,"Zeldin, Lee",NY01,"$10,000",,
Transport Workers Union,N00025337,"Diaz-Balart, Mario",FL25,"$10,000",,
Citigroup Inc,N00030026,"Luetkemeyer, Blaine",MO03,"$17,500",,
Citigroup Inc,N00028152,"McCarthy, Kevin",CA23,"$20,000",,
Citigroup Inc,N00009660,"Scalise, Steve",LA01,"$10,000",,
Citigroup Inc,N00029404,"Zeldin, Lee",NY01,"$10,000",,
Sempra Energy,N00028152,"McCarthy, Kevin",CA23,"$15,000",,
Sempra Energy,N00007248,"Nunes, Devin",CA22,"$15,000",,
American Podiatric Medical Assn,N00032088,"Johnson, Bill",OH06,"$15,000",,
American Podiatric Medical Assn,N00033410,"Mullin, Markwayne",OK02,"$10,000",,
American Podiatric Medical Assn,N00009660,"Scalise, Steve",LA01,"$10,000",,
Norfolk Southern,N00030770,"Crawford, Rick",AR01,"$10,000",,
Norfolk Southern,N00033085,"Cruz, Ted",TXS2,"$10,000",,
Norfolk Southern,N00013323,"Graves, Sam",MO06,"$15,000",,
Norfolk Southern,N00032029,"Griffith, Morgan",VA09,"$10,000",,
Norfolk Southern,N00009660,"Scalise, Steve",LA01,"$12,500",,
Norfolk Southern,N00043290,"Scott, Rick",FLS1,"$10,000",,
Land O'Lakes,N00029736,"Thompson, Glenn",PA15,"$10,000",,
National Assn of Broadcasters,N00003689,"Chabot, Steve",OH01,"$10,000",,
National Assn of Broadcasters,N00033630,"Hudson, Richard",NC08,"$15,000",,
National Assn of Broadcasters,N00032088,"Johnson, Bill",OH06,"$13,500",,
National Assn of Broadcasters,N00039106,"Johnson, Mike",LA04,"$20,000",,
National Assn of Broadcasters,N00027894,"Jordan, Jim",OH04,"$17,500",,
National Assn of Broadcasters,N00026823,"Kennedy, John",LAS2,"$10,000",,
National Assn of Broadcasters,N00030676,"Long, Billy",MO07,"$15,000",,
National Assn of Broadcasters,N00043290,"Scott, Rick",FLS1,"$10,000",,
NCTA The Internet & Television Assn,N00025219,"Burgess, Michael",TX26,"$20,000",,
NCTA The Internet & Television Assn,N00033085,"Cruz, Ted",TXS2,"$10,000",,
NCTA The Internet & Television Assn,N00030752,"Duncan, Jeff",SC03,"$10,000",,
NCTA The Internet & Television Assn,N00032029,"Griffith, Morgan",VA09,"$13,500",,
NCTA The Internet & Television Assn,N00033630,"Hudson, Richard",NC08,"$17,000",,
NCTA The Internet & Television Assn,N00032088,"Johnson, Bill",OH06,"$18,500",,
NCTA The Internet & Television Assn,N00039106,"Johnson, Mike",LA04,"$14,000",,
NCTA The Internet & Television Assn,N00030676,"Long, Billy",MO07,"$15,000",,
NCTA The Internet & Television Assn,N00028152,"McCarthy, Kevin",CA23,"$20,000",,
NCTA The Internet & Television Assn,N00033410,"Mullin, Markwayne",OK02,"$11,000",,
NCTA The Internet & Television Assn,N00009660,"Scalise, Steve",LA01,"$20,000",,
NCTA The Internet & Television Assn,N00026368,"Walberg, Tim",MI07,"$10,000",,
Conservative Leadership PAC,N00046252,"Cawthorn, David Madison",NC11,"$10,000",,
Conservative Leadership PAC,N00041454,"Herrell, Yvette",NM02,"$10,000",,
Associated Builders & Contractors,N00003689,"Chabot, Steve",OH01,"$10,000",,
Associated Builders & Contractors,N00026166,"Foxx, Virginia",NC05,"$10,000",,
Associated Builders & Contractors,N00043298,"Hyde-Smith, Cindy",MSS1,"$10,000",,
Associated Builders & Contractors,N00027894,"Jordan, Jim",OH04,"$10,000",,
Associated Builders & Contractors,N00028152,"McCarthy, Kevin",CA23,"$10,000",,
Associated Builders & Contractors,N00038781,"Smucker, Lloyd",PA11,"$10,000",,
Union Pacific Corp,N00035420,"Bost, Mike",IL12,"$10,000",,
Union Pacific Corp,N00030770,"Crawford, Rick",AR01,"$11,000",,
Union Pacific Corp,N00033085,"Cruz, Ted",TXS2,"$10,000",,
Union Pacific Corp,N00013323,"Graves, Sam",MO06,"$17,500",,
Union Pacific Corp,N00037034,"Marshall, Roger",KSS1,"$10,000",,
Union Pacific Corp,N00028152,"McCarthy, Kevin",CA23,"$15,000",,
Union Pacific Corp,N00009660,"Scalise, Steve",LA01,"$10,000",,
Union Pacific Corp,N00043290,"Scott, Rick",FLS1,"$10,000",,
Union Pacific Corp,N00027623,"Smith, Adrian",NE03,"$15,000",,
American Council of Engineering Cos,N00030770,"Crawford, Rick",AR01,"$10,000",,
American Council of Engineering Cos,N00013323,"Graves, Sam",MO06,"$10,000",,
Johnson & Johnson,N00025219,"Burgess, Michael",TX26,"$11,000",,
Johnson & Johnson,N00028152,"McCarthy, Kevin",CA23,"$15,000",,
Johnson & Johnson,N00039777,"Rutherford, John",FL04,"$10,000",,
Johnson & Johnson,N00009660,"Scalise, Steve",LA01,"$15,000",,
UBS Americas,N00038285,"Arrington, Jodey",TX19,"$15,000",,
UBS Americas,N00039551,"Budd, Ted",NC13,"$10,000",,
UBS Americas,N00003689,"Chabot, Steve",OH01,"$10,000",,
UBS Americas,N00038767,"Davidson, Warren",OH08,"$10,000",,
UBS Americas,N00040712,"Estes, Ron",KS04,"$10,000",,
UBS Americas,N00026166,"Foxx, Virginia",NC05,"$15,000",,
UBS Americas,N00042237,"Gooden, Lance",TX05,"$10,000",,
UBS Americas,N00031647,"Kelly, Mike",PA16,"$20,000",,
UBS Americas,N00026823,"Kennedy, John",LAS2,"$15,000",,
UBS Americas,N00025445,"Kustoff, David",TN08,"$10,000",,
UBS Americas,N00035347,"Loudermilk, Barry",GA11,"$10,000",,
UBS Americas,N00005559,"Lucas, Frank D",OK03,"$15,000",,
UBS Americas,N00030026,"Luetkemeyer, Blaine",MO03,"$20,000",,
UBS Americas,N00028152,"McCarthy, Kevin",CA23,"$20,000",,
UBS Americas,N00007248,"Nunes, Devin",CA22,"$20,000",,
UBS Americas,N00029662,"Posey, Bill",FL08,"$10,000",,
UBS Americas,N00033832,"Rice, Tom",SC07,"$15,000",,
UBS Americas,N00009660,"Scalise, Steve",LA01,"$10,000",,
UBS Americas,N00043290,"Scott, Rick",FLS1,"$10,000",,
UBS Americas,N00027623,"Smith, Adrian",NE03,"$15,000",,
UBS Americas,N00035282,"Smith, Jason",MO08,"$20,000",,
UBS Americas,N00038781,"Smucker, Lloyd",PA11,"$10,000",,
UBS Americas,N00035523,"Stefanik, Elise",NY21,"$15,000",,
UBS Americas,N00042715,"Timmons, William",SC04,"$10,000",,
UBS Americas,N00031226,"Walorski, Jackie",IN02,"$10,000",,
UBS Americas,N00030602,"Williams, Roger",TX25,"$10,000",,
UBS Americas,N00029404,"Zeldin, Lee",NY01,"$10,000",,
Plumbers/Pipefitters Union,N00035420,"Bost, Mike",IL12,"$10,000",,
Plumbers/Pipefitters Union,N00032088,"Johnson, Bill",OH06,"$10,000",,
Plumbers/Pipefitters Union,N00037269,"Mast, Brian",FL18,"$10,000",,
Plumbers/Pipefitters Union,N00035523,"Stefanik, Elise",NY21,"$10,000",,
Plumbers/Pipefitters Union,N00042164,"Van Drew, Jeff",NJ02,"$10,000",,
Plumbers/Pipefitters Union,N00029404,"Zeldin, Lee",NY01,"$10,000",,
American Physical Therapy Assn,N00025219,"Burgess, Michael",TX26,"$20,000",,
American Physical Therapy Assn,N00031647,"Kelly, Mike",PA16,"$10,000",,
American Physical Therapy Assn,N00037034,"Marshall, Roger",KSS1,"$10,000",,
American Physical Therapy Assn,N00028152,"McCarthy, Kevin",CA23,"$10,000",,
American Land Title Assn,N00030026,"Luetkemeyer, Blaine",MO03,"$20,000",,
American Land Title Assn,N00041871,"Reschenthaler, Guy",PA14,"$10,000",,
United Mine Workers of America,N00035420,"Bost, Mike",IL12,"$10,000",,
Sheet Metal & Air Conditioning Contractors Assn,N00035420,"Bost, Mike",IL12,"$10,000",,
Sheet Metal & Air Conditioning Contractors Assn,N00041871,"Reschenthaler, Guy",PA14,"$10,000",,
Texas Cattle Feeders Assn,N00046055,"Jackson, Ronny",TX13,"$10,000",,
Pinnacle West Capital,N00039293,"Biggs, Andy",AZ05,"$15,000",,
Pinnacle West Capital,N00030771,"Gosar, Paul",AZ04,"$15,000",,
Pinnacle West Capital,N00042056,"Lesko, Debbie",AZ08,"$17,500",,
Pinnacle West Capital,N00029788,"Lummis, Cynthia",WYS2,"$10,000",,
Pinnacle West Capital,N00028152,"McCarthy, Kevin",CA23,"$10,000",,
Pinnacle West Capital,N00006460,"Schweikert, David",AZ06,"$15,000",,
Pfizer Inc,N00032029,"Griffith, Morgan",VA09,"$10,000",,
Pfizer Inc,N00033630,"Hudson, Richard",NC08,"$12,500",,
Pfizer Inc,N00027894,"Jordan, Jim",OH04,"$10,000",,
Pfizer Inc,N00009660,"Scalise, Steve",LA01,"$12,500",,
Bank of New York Mellon,N00030026,"Luetkemeyer, Blaine",MO03,"$11,000",,
US Bancorp,N00030026,"Luetkemeyer, Blaine",MO03,"$10,000",,
Edison International,N00007099,"Calvert, Ken",CA42,"$12,500",,
Edison International,N00007248,"Nunes, Devin",CA22,"$15,000",,
Independent Insurance Agents & Brokers of America,N00039551,"Budd, Ted",NC13,"$10,000",,
Independent Insurance Agents & Brokers of America,N00033630,"Hudson, Richard",NC08,"$10,000",,
Independent Insurance Agents & Brokers of America,N00030676,"Long, Billy",MO07,"$13,000",,
Independent Insurance Agents & Brokers of America,N00030026,"Luetkemeyer, Blaine",MO03,"$20,000",,
Independent Insurance Agents & Brokers of America,N00037034,"Marshall, Roger",KSS1,"$10,000",,
Independent Insurance Agents & Brokers of America,N00028152,"McCarthy, Kevin",CA23,"$20,000",,
Independent Insurance Agents & Brokers of America,N00007248,"Nunes, Devin",CA22,"$10,000",,
Independent Insurance Agents & Brokers of America,N00035517,"Rosendale, Matt",MT01,"$10,000",,
Independent Insurance Agents & Brokers of America,N00009660,"Scalise, Steve",LA01,"$20,000",,
Independent Insurance Agents & Brokers of America,N00042715,"Timmons, William",SC04,"$10,000",,
Independent Insurance Agents & Brokers of America,N00030602,"Williams, Roger",TX25,"$10,000",,
Independent Insurance Agents & Brokers of America,N00029404,"Zeldin, Lee",NY01,"$15,000",,
National Cotton Council,N00038285,"Arrington, Jodey",TX19,"$11,000",,
National Cotton Council,N00035346,"Carter, Buddy",GA01,"$12,500",,
National Cotton Council,N00030770,"Crawford, Rick",AR01,"$20,000",,
National Cotton Council,N00043298,"Hyde-Smith, Cindy",MSS1,"$10,000",,
National Cotton Council,N00005559,"Lucas, Frank D",OK03,"$10,000",,
National Cotton Council,N00037034,"Marshall, Roger",KSS1,"$10,000",,
National Cotton Council,N00033527,"Rouzer, David",NC07,"$11,000",,
National Assn of Letter Carriers,N00035420,"Bost, Mike",IL12,"$10,000",,
National Assn of Letter Carriers,N00013323,"Graves, Sam",MO06,"$10,000",,
National Assn of Letter Carriers,N00032088,"Johnson, Bill",OH06,"$17,500",,
National Assn of Letter Carriers,N00029404,"Zeldin, Lee",NY01,"$15,000",,
American Assn for Justice,N00032029,"Griffith, Morgan",VA09,"$15,000",,
General Electric,N00039106,"Johnson, Mike",LA04,"$11,000",,
